CHROM	POS	WEIR_AND_COCKERHAM_FST	outliers
chrXIX	10316	-0.0333333	FALSE
chrXIX	15110	0.0888889	FALSE
chrXIX	18722	-0.0165663	FALSE
chrXIX	40369	0	FALSE
chrXIX	55509	-0.025641	FALSE
chrXIX	55838	-0.025641	FALSE
chrXIX	58152	0	FALSE
chrXIX	58988	0.259259	FALSE
chrXIX	63547	0.0111111	FALSE
chrXIX	68358	-0.0606061	FALSE
chrXIX	69811	0.0277778	FALSE
chrXIX	70000	0.0686275	FALSE
chrXIX	72199	-0.010101	FALSE
chrXIX	72808	-0.0555556	FALSE
chrXIX	73416	-0.0934547	FALSE
chrXIX	74278	-0.0888889	FALSE
chrXIX	78380	-0.0526316	FALSE
chrXIX	86753	-0.0528455	FALSE
chrXIX	92166	0.0743802	FALSE
chrXIX	95414	-0.0353535	FALSE
chrXIX	95833	-0.0555556	FALSE
chrXIX	97538	-0.025641	FALSE
chrXIX	97873	0.07173	FALSE
chrXIX	97877	-0.0353535	FALSE
chrXIX	100112	-0.0582011	FALSE
chrXIX	102343	-0.031746	FALSE
chrXIX	105824	-0.0526316	FALSE
chrXIX	108368	0.0524489	FALSE
chrXIX	121180	0	FALSE
chrXIX	123755	0	FALSE
chrXIX	126112	-0.0423826	FALSE
chrXIX	126943	0	FALSE
chrXIX	129798	0	FALSE
chrXIX	134342	-0.031746	FALSE
chrXIX	140001	0	FALSE
chrXIX	141647	0	FALSE
chrXIX	145358	-0.025641	FALSE
chrXIX	150126	-0.0555556	FALSE
chrXIX	161689	0.111111	FALSE
chrXIX	168167	0.0555556	FALSE
chrXIX	169696	-0.184211	FALSE
chrXIX	170145	-0.00560307	FALSE
chrXIX	184469	0.00900901	FALSE
chrXIX	188142	0.268293	FALSE
chrXIX	199327	0.0243902	FALSE
chrXIX	202277	-0.0475456	FALSE
chrXIX	208011	-0.031746	FALSE
chrXIX	211776	0	FALSE
chrXIX	214058	-0.037037	FALSE
chrXIX	215008	-0.0353535	FALSE
chrXIX	220714	-0.0727969	FALSE
chrXIX	221208	-0.010101	FALSE
chrXIX	223135	-0.0526316	FALSE
chrXIX	223195	-0.0526316	FALSE
chrXIX	223207	-0.0233918	FALSE
chrXIX	226548	0	FALSE
chrXIX	229805	0	FALSE
chrXIX	232046	-0.031746	FALSE
chrXIX	240383	-0.00110011	FALSE
chrXIX	268655	0.037037	FALSE
chrXIX	273602	0.0555556	FALSE
chrXIX	276138	0.138889	FALSE
chrXIX	281355	0.0555556	FALSE
chrXIX	281988	0	FALSE
chrXIX	284391	0.0555556	FALSE
chrXIX	288481	0	FALSE
chrXIX	291646	-0.0526316	FALSE
chrXIX	292940	0.0555556	FALSE
chrXIX	293647	0.0123457	FALSE
chrXIX	293721	-0.0120217	FALSE
chrXIX	294043	0.0409357	FALSE
chrXIX	298935	0.057971	FALSE
chrXIX	304956	0.0555556	FALSE
chrXIX	315947	0	FALSE
chrXIX	318107	-0.0333333	FALSE
chrXIX	319530	0	FALSE
chrXIX	336512	0.0277778	FALSE
chrXIX	342019	-0.031746	FALSE
chrXIX	347982	-0.0344828	FALSE
chrXIX	348865	0.0555556	FALSE
chrXIX	348974	-0.0277778	FALSE
chrXIX	348974	4.77049e-18	FALSE
chrXIX	349730	-0.031746	FALSE
chrXIX	353249	0	FALSE
chrXIX	353960	-0.0416667	FALSE
chrXIX	353994	-0.0222222	FALSE
chrXIX	354037	-0.0309278	FALSE
chrXIX	359201	0	FALSE
chrXIX	362227	-0.0416667	FALSE
chrXIX	365953	0.0555556	FALSE
chrXIX	365996	-0.0344828	FALSE
chrXIX	366992	-0.00701899	FALSE
chrXIX	367003	0.0826873	FALSE
chrXIX	367179	-0.0181818	FALSE
chrXIX	375622	-0.0416667	FALSE
chrXIX	382883	0	FALSE
chrXIX	383463	-0.0526316	FALSE
chrXIX	384275	0	FALSE
chrXIX	394041	0	FALSE
chrXIX	394078	0	FALSE
chrXIX	411813	0.138889	FALSE
chrXIX	421075	-0.0416667	FALSE
chrXIX	440932	-0.0672515	FALSE
chrXIX	442635	-0.00907029	FALSE
chrXIX	442706	-0.00907029	FALSE
chrXIX	444232	0.0183387	FALSE
chrXIX	447216	0.0526316	FALSE
chrXIX	451298	0.0530303	FALSE
chrXIX	486356	0.00990099	FALSE
chrXIX	486536	0.0614887	FALSE
chrXIX	491694	-0.0536398	FALSE
chrXIX	492895	0	FALSE
chrXIX	496403	0.0277778	FALSE
chrXIX	500446	-0.0233918	FALSE
chrXIX	507202	0	FALSE
chrXIX	507313	0	FALSE
chrXIX	507348	0.0555556	FALSE
chrXIX	511360	0.0656566	FALSE
chrXIX	525811	-0.0165485	FALSE
chrXIX	530295	-0.0662177	FALSE
chrXIX	541321	-0.350482	FALSE
chrXIX	544163	0.0444444	FALSE
chrXIX	544265	-0.0111111	FALSE
chrXIX	544642	0.0111111	FALSE
chrXIX	558642	-6.93889e-17	FALSE
chrXIX	559179	-0.00854701	FALSE
chrXIX	559311	-0.010101	FALSE
chrXIX	562608	0	FALSE
chrXIX	562934	0	FALSE
chrXIX	565134	4.77049e-18	FALSE
chrXIX	582845	0.111111	FALSE
chrXIX	586142	0	FALSE
chrXIX	587000	7.70988e-18	FALSE
chrXIX	588654	-0.0277778	FALSE
chrXIX	588733	-0.0042735	FALSE
chrXIX	588777	0.0277778	FALSE
chrXIX	590170	0.0811966	FALSE
chrXIX	590242	0.015625	FALSE
chrXIX	594533	-0.031746	FALSE
chrXIX	607020	0.0576653	FALSE
chrXIX	607291	-0.00877193	FALSE
chrXIX	612180	0	FALSE
chrXIX	619273	0.166667	FALSE
chrXIX	619701	0.0849673	FALSE
chrXIX	620802	-0.031746	FALSE
chrXIX	620835	-0.0493827	FALSE
chrXIX	625004	7.70988e-18	FALSE
chrXIX	626854	-0.0590278	FALSE
chrXIX	630849	0	FALSE
chrXIX	641520	-0.0532407	FALSE
chrXIX	643602	-0.0526316	FALSE
chrXIX	663038	0.0555556	FALSE
chrXIX	667761	-0.0042735	FALSE
chrXIX	667811	0.00900901	FALSE
chrXIX	668430	-6.93889e-17	FALSE
chrXIX	669827	0.137427	FALSE
chrXIX	670200	-0.0344828	FALSE
chrXIX	673669	0.111111	FALSE
chrXIX	676204	0.0338164	FALSE
chrXIX	676876	-0.031746	FALSE
chrXIX	683894	0.0338164	FALSE
chrXIX	684565	0.0333333	FALSE
chrXIX	685388	0.0111111	FALSE
chrXIX	685436	0.0461216	FALSE
chrXIX	686431	0.0714286	FALSE
chrXIX	686579	0.0292398	FALSE
chrXIX	688100	0	FALSE
chrXIX	688365	0.00990099	FALSE
chrXIX	691275	0	FALSE
chrXIX	699692	-0.021021	FALSE
chrXIX	704443	-0.0493827	FALSE
chrXIX	706265	0	FALSE
chrXIX	710406	0.111111	FALSE
chrXIX	721984	0	FALSE
chrXIX	722006	-0.00877193	FALSE
chrXIX	735336	0.0333333	FALSE
